      apsza    band      o3      aod    dif1                dif2                dif3                dif4                dif5                dif6 
      40.0     290.0     0.0     0.0    0.5855283625E+01   -0.5845691402E+01    0.4660606000E-02   -0.5846581871E+01   -0.2771279000E-02   -0.1028607300E-01
      40.0     295.0     0.0     0.0    0.9251164161E+02   -0.9207971615E+02    0.2719365670E+00   -0.9212166878E+02   -0.1193542980E+00   -0.4290740890E+00
      40.0     300.0     0.0     0.0   -0.3389799682E+03    0.3428471925E+03    0.2782233516E+01    0.3424583265E+03   -0.1020350898E+01   -0.3642636362E+01
      40.0     305.0     0.0     0.0   -0.5817535683E+04    0.5835759250E+04    0.1437206086E+02    0.5833863279E+04   -0.4589305741E+01   -0.1664122360E+02
      40.0     310.0     0.0     0.0   -0.1896476513E+05    0.1900204555E+05    0.3171206573E+02    0.1899799884E+05   -0.8858076851E+01   -0.3362144880E+02
      40.0     315.0     0.0     0.0   -0.3879052100E+05    0.3884857225E+05    0.5286773625E+02    0.3884194257E+05   -0.1285109140E+02   -0.5243029236E+02
      40.0     320.0     0.0     0.0   -0.6092090390E+05    0.6099548211E+05    0.7249992401E+02    0.6098645446E+05   -0.1511070243E+02   -0.6811622607E+02
      40.0     325.0     0.0     0.0   -0.9138751534E+05    0.9148267210E+05    0.9863943807E+02    0.9147036551E+05   -0.1729555916E+02   -0.8839821536E+02
      40.0     330.0     0.0     0.0   -0.1292122591E+06    0.1293316384E+06    0.1308617137E+03    0.1293151806E+06   -0.1923646786E+02   -0.1131836628E+03
      40.0     335.0     0.0     0.0   -0.1332477441E+06    0.1333583495E+06    0.1278194518E+03    0.1333420618E+06   -0.1549409720E+02   -0.1070639611E+03
      40.0     340.0     0.0     0.0   -0.1626785597E+06    0.1628015514E+06    0.1495681244E+03    0.1627821923E+06   -0.1456436354E+02   -0.1217631630E+03
      40.0     345.0     0.0     0.0   -0.1709906841E+06    0.1711103371E+06    0.1523118232E+03    0.1710902854E+06   -0.1174837267E+02   -0.1209539375E+03
      40.0     350.0     0.0     0.0   -0.1904244437E+06    0.1905488824E+06    0.1653211305E+03    0.1905267052E+06   -0.9728491155E+01   -0.1283226656E+03
      40.0     355.0     0.0     0.0   -0.2131204510E+06    0.2132514385E+06    0.1807209704E+03    0.2132267263E+06   -0.7792680460E+01   -0.1375425124E+03
      40.0     360.0     0.0     0.0   -0.2018506050E+06    0.2019681102E+06    0.1683196179E+03    0.2019446224E+06   -0.4736659836E+01   -0.1255990272E+03
      40.0     365.0     0.0     0.0   -0.2708506512E+06    0.2710004972E+06    0.2219038254E+03    0.2709689070E+06   -0.3339816516E+01   -0.1628201111E+03
      40.0     370.0     0.0     0.0   -0.2871945792E+06    0.2873466313E+06    0.2321522476E+03    0.2873129340E+06   -0.8352490580E+00   -0.1675963913E+03
      40.0     375.0     0.0     0.0   -0.2715159899E+06    0.2716538797E+06    0.2168695689E+03    0.2716217590E+06    0.1600607072E+01   -0.1541672805E+03
      40.0     380.0     0.0     0.0   -0.3159574014E+06    0.3161122749E+06    0.2499572828E+03    0.3160745553E+06    0.4165158197E+01   -0.1752695130E+03
